 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jun/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110015 Ouro Preto do Oeste";33;33;39154,77;28768,60;-;-;10386,17;-;-;1186,51;1186,51;186;5,6;3;9,09
"110145 Parecis";5;5;3200,73;2656,15;-;-;544,58;-;-;640,15;640,15;14;2,8;1;20,00
"110018 Pimenta Bueno";162;162;108226,51;88464,01;-;-;19762,50;-;-;668,06;668,06;497;3,1;10;6,17
"110146 Pimenteiras do Oeste";12;12;5899,78;4256,57;-;-;1643,21;-;-;491,65;491,65;34;2,8;1;8,33
"110020 Porto Velho";1829;1829;4197520,36;3505889,68;-;-;691630,68;-;-;2294,98;2294,98;12857;7,0;149;8,15
"110025 Presidente Médici";23;23;94033,44;80571,57;-;-;13461,87;-;-;4088,41;4088,41;350;15,2;1;4,35
"110147 Primavera de Rondônia";10;10;4596,64;3861,75;-;-;734,89;-;-;459,66;459,66;29;2,9;-;-
"110026 Rio Crespo";4;4;4883,35;3685,15;-;-;1198,20;-;-;1220,84;1220,84;22;5,5;-;-
"110028 Rolim de Moura";76;76;79593,45;62533,89;-;-;17059,56;-;-;1047,28;1047,28;537;7,1;2;2,63
"110029 Santa Luzia D'Oeste";28;28;30918,20;26635,93;-;-;4282,27;-;-;1104,22;1104,22;152;5,4;2;7,14
"110148 São Felipe D'Oeste";10;10;15313,57;11301,31;-;-;4012,26;-;-;1531,36;1531,36;58;5,8;-;-
"110149 São Francisco do Guaporé";57;57;131074,11;90673,30;-;-;40400,81;-;-;2299,55;2299,55;247;4,3;2;3,51
"110032 São Miguel do Guaporé";18;18;41936,33;35863,03;-;-;6073,30;-;-;2329,80;2329,80;136;7,6;4;22,22
"110150 Seringueiras";47;47;32341,75;25942,54;-;-;6399,21;-;-;688,12;688,12;214;4,6;-;-
"110155 Teixeirópolis";11;11;5055,00;4135,33;-;-;919,67;-;-;459,55;459,55;48;4,4;2;18,18
"110160 Theobroma";6;6;6944,99;5274,17;-;-;1670,82;-;-;1157,50;1157,50;58;9,7;1;16,67
"110170 Urupá";12;12;9890,48;8092,94;-;-;1797,54;-;-;824,21;824,21;33;2,8;-;-
"110175 Vale do Anari";6;6;2762,22;2350,25;-;-;411,97;-;-;460,37;460,37;67;11,2;-;-
"110180 Vale do Paraíso";5;5;10413,85;8718,92;-;-;1694,93;-;-;2082,77;2082,77;27;5,4;-;-
"110030 Vilhena";595;595;555559,22;439929,08;-;-;115630,14;-;-;933,71;933,71;2523;4,2;36;6,05
"120001 Acrelândia";7;7;22342,53;17446,20;-;-;4896,33;-;-;3191,79;3191,79;84;12,0;-;-
"120010 Brasiléia";6;6;9232,12;7668,29;-;-;1563,83;-;-;1538,69;1538,69;21;3,5;1;16,67
"120020 Cruzeiro do Sul";2;2;13065,60;11071,66;-;-;1993,94;-;-;6532,80;6532,80;30;15,0;-;-
"120040 Rio Branco";29;29;34030,33;26463,00;-;-;7567,33;-;-;1173,46;1173,46;134;4,6;2;6,90
"120050 Sena Madureira";2;2;3601,64;3062,28;-;-;539,36;-;-;1800,82;1800,82;5;2,5;-;-
"120060 Tarauacá";1;1;135,00;109,25;-;-;25,75;-;-;135,00;135,00;-;-;-;-
"120070 Xapuri";1;1;17751,60;15175,59;-;-;2576,01;-;-;17751,60;17751,60;11;11,0;1;100,00
"130002 Alvarães";73;73;50485,71;39151,31;-;-;11334,40;-;-;691,59;691,59;375;5,1;2;2,74
"130006 Amaturá";6;6;3336,91;2788,39;-;-;548,52;-;-;556,15;556,15;50;8,3;1;16,67
