 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jun/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"430220 Boa Vista do Buricá";31;31;36968,90;31059,69;-;-;5909,21;-;-;1192,55;1192,55;128;4,1;1;3,23
"430222 Boa Vista do Cadeado";11;11;9245,10;7514,32;-;-;1730,78;-;-;840,46;840,46;28;2,5;1;9,09
"430223 Boa Vista do Incra";10;10;19736,79;14045,94;-;-;5690,85;-;-;1973,68;1973,68;56;5,6;-;-
"430225 Boa Vista do Sul";9;9;7835,81;6766,55;-;-;1069,26;-;-;870,65;870,65;43;4,8;1;11,11
"430230 Bom Jesus";51;56;87019,68;70743,88;-;-;16275,80;-;-;1553,92;1706,27;376;7,4;3;5,88
"430235 Bom Princípio";106;106;81880,91;64150,31;-;-;17730,60;-;-;772,46;772,46;306;2,9;2;1,89
"430237 Bom Progresso";9;9;6405,75;4912,40;-;-;1493,35;-;-;711,75;711,75;23;2,6;-;-
"430240 Bom Retiro do Sul";61;61;114056,39;96956,23;-;-;17100,16;-;-;1869,78;1869,78;351;5,8;4;6,56
"430245 Boqueirão do Leão";13;13;65367,17;54094,93;-;-;11272,24;-;-;5028,24;5028,24;68;5,2;-;-
"430250 Bossoroca";16;16;36712,32;31721,57;-;-;4990,75;-;-;2294,52;2294,52;103;6,4;3;18,75
"430258 Bozano";8;8;29350,30;25707,03;-;-;3643,27;-;-;3668,79;3668,79;35;4,4;-;-
"430260 Braga";30;30;46093,82;39366,24;-;-;6727,58;-;-;1536,46;1536,46;203;6,8;1;3,33
"430265 Brochier";20;20;39639,19;33406,46;-;-;6232,73;-;-;1981,96;1981,96;120;6,0;3;15,00
"430270 Butiá";94;94;229578,00;196041,30;-;-;33536,70;-;-;2442,32;2442,32;756;8,0;7;7,45
"430280 Caçapava do Sul";168;168;181117,21;148781,29;-;-;32335,92;-;-;1078,08;1078,08;837;5,0;11;6,55
"430290 Cacequi";35;35;60096,64;50967,41;-;-;9129,23;-;-;1717,05;1717,05;238;6,8;6;17,14
"430300 Cachoeira do Sul";374;374;605753,83;500764,21;-;-;104989,62;-;-;1619,66;1619,66;1867;5,0;32;8,56
"430310 Cachoeirinha";564;565;998424,54;831315,96;-;-;167108,58;-;-;1767,12;1770,26;3722;6,6;36;6,38
"430320 Cacique Doble";21;21;25260,53;19875,14;-;-;5385,39;-;-;1202,88;1202,88;106;5,0;-;-
"430330 Caibaté";40;40;52060,26;44198,85;-;-;7861,41;-;-;1301,51;1301,51;160;4,0;-;-
"430340 Caiçara";30;30;65108,75;52465,51;-;-;12643,24;-;-;2170,29;2170,29;201;6,7;2;6,67
"430350 Camaquã";327;328;649573,29;546645,85;-;-;102927,44;-;-;1980,41;1986,46;1837;5,6;17;5,20
"430355 Camargo";14;14;35396,66;29747,55;-;-;5649,11;-;-;2528,33;2528,33;70;5,0;1;7,14
"430360 Cambará do Sul";27;27;45843,41;38299,63;-;-;7543,78;-;-;1697,90;1697,90;222;8,2;1;3,70
"430367 Campestre da Serra";6;6;11864,33;10325,85;-;-;1538,48;-;-;1977,39;1977,39;18;3,0;2;33,33
"430370 Campina das Missões";50;50;71952,42;63165,41;-;-;8787,01;-;-;1439,05;1439,05;373;7,5;7;14,00
"430380 Campinas do Sul";30;30;84573,42;65589,42;-;-;18984,00;-;-;2819,11;2819,11;184;6,1;1;3,33
"430390 Campo Bom";413;418;602280,26;474131,99;-;-;128148,27;-;-;1440,86;1458,31;1461;3,5;22;5,33
"430400 Campo Novo";43;43;28845,17;24237,32;-;-;4607,85;-;-;670,82;670,82;192;4,5;2;4,65
"430410 Campos Borges";8;8;25221,04;21966,74;-;-;3254,30;-;-;3152,63;3152,63;27;3,4;1;12,50
"430420 Candelária";184;184;221222,48;184681,32;-;-;36541,16;-;-;1202,30;1202,30;1270;6,9;10;5,43
"430430 Cândido Godói";36;36;94537,06;87801,66;-;-;6735,40;-;-;2626,03;2626,03;207;5,8;-;-
"430435 Candiota";25;26;33100,59;27610,94;-;-;5489,65;-;-;1273,10;1324,02;199;8,0;1;4,00
"430440 Canela";248;251;312634,59;251645,97;-;-;60988,62;-;-;1245,56;1260,62;1203;4,9;16;6,45
"430450 Canguçu";200;202;375419,15;316250,90;-;-;59168,25;-;-;1858,51;1877,10;1433;7,2;12;6,00
"430460 Canoas";1704;1707;3302790,99;2703496,44;-;-;599294,55;-;-;1934,85;1938,26;9584;5,6;93;5,46
"430461 Canudos do Vale";4;4;2721,82;2188,46;-;-;533,36;-;-;680,46;680,46;11;2,8;-;-
"430462 Capão Bonito do Sul";5;5;3432,07;2938,44;-;-;493,63;-;-;686,41;686,41;29;5,8;2;40,00
"430463 Capão da Canoa";145;145;393404,45;330540,15;-;-;62864,30;-;-;2713,13;2713,13;967;6,7;7;4,83
"430465 Capão do Cipó";14;14;12389,46;9476,63;-;-;2912,83;-;-;884,96;884,96;43;3,1;1;7,14
"430466 Capão do Leão";94;95;151591,08;124662,95;-;-;26928,13;-;-;1595,70;1612,67;747;7,9;5;5,32
"430468 Capela de Santana";52;52;70725,15;57442,84;-;-;13282,31;-;-;1360,10;1360,10;308;5,9;4;7,69
"430469 Capitão";28;28;72424,18;64523,03;-;-;7901,15;-;-;2586,58;2586,58;147;5,3;-;-
"430467 Capivari do Sul";15;15;19334,69;17057,26;-;-;2277,43;-;-;1288,98;1288,98;125;8,3;4;26,67
"430471 Caraá";34;34;44382,65;36638,37;-;-;7744,28;-;-;1305,37;1305,37;182;5,4;3;8,82
"430470 Carazinho";346;346;525015,32;434009,89;-;-;91005,43;-;-;1517,39;1517,39;1785;5,2;20;5,78
"430480 Carlos Barbosa";91;92;162839,84;134554,28;-;-;28285,56;-;-;1770,00;1789,45;467;5,1;3;3,30
"430485 Carlos Gomes";8;8;11177,45;8866,81;-;-;2310,64;-;-;1397,18;1397,18;61;7,6;2;25,00
"430490 Casca";41;41;59173,21;50936,41;-;-;8236,80;-;-;1443,25;1443,25;260;6,3;2;4,88
"430495 Caseiros";17;17;26868,96;22506,01;-;-;4362,95;-;-;1580,53;1580,53;68;4,0;1;5,88
"430500 Catuípe";42;42;88983,36;73847,79;-;-;15135,57;-;-;2118,65;2118,65;272;6,5;3;7,14
"430510 Caxias do Sul";1533;1626;2935103,10;2471874,46;-;-;463228,64;-;-;1805,11;1914,61;11061;7,2;85;5,54
"430511 Centenário";9;9;18177,75;13680,39;-;-;4497,36;-;-;2019,75;2019,75;31;3,4;-;-
"430512 Cerrito";19;19;21643,28;18065,60;-;-;3577,68;-;-;1139,12;1139,12;142;7,5;2;10,53
"430513 Cerro Branco";27;27;34322,77;28340,39;-;-;5982,38;-;-;1271,21;1271,21;92;3,4;2;7,41
"430515 Cerro Grande";11;11;15675,24;13494,38;-;-;2180,86;-;-;1425,02;1425,02;67;6,1;1;9,09
"430517 Cerro Grande do Sul";38;39;73573,66;61279,18;-;-;12294,48;-;-;1886,50;1936,15;239;6,3;5;13,16
"430520 Cerro Largo";43;43;63557,55;50951,16;-;-;12606,39;-;-;1478,08;1478,08;197;4,6;3;6,98
"430530 Chapada";41;41;50817,09;41449,57;-;-;9367,52;-;-;1239,44;1239,44;175;4,3;4;9,76
"430535 Charqueadas";194;194;236694,02;192991,46;-;-;43702,56;-;-;1220,07;1220,07;1139;5,9;7;3,61
"430537 Charrua";9;9;6386,63;5092,76;-;-;1293,87;-;-;709,63;709,63;58;6,4;-;-
"430540 Chiapetta";21;21;24320,77;20150,99;-;-;4169,78;-;-;1158,13;1158,13;96;4,6;2;9,52
"430543 Chuí";11;11;13151,39;10040,96;-;-;3110,43;-;-;1195,58;1195,58;41;3,7;-;-
"430544 Chuvisca";23;23;41751,86;34366,53;-;-;7385,33;-;-;1815,30;1815,30;178;7,7;1;4,35
"430545 Cidreira";82;82;166191,01;139610,51;-;-;26580,50;-;-;2026,72;2026,72;491;6,0;8;9,76
"430550 Ciríaco";21;21;26573,94;21432,23;-;-;5141,71;-;-;1265,43;1265,43;109;5,2;2;9,52
"430558 Colinas";18;18;44710,98;35812,46;-;-;8898,52;-;-;2483,94;2483,94;96;5,3;-;-
"430560 Colorado";9;9;17685,10;15045,89;-;-;2639,21;-;-;1965,01;1965,01;60;6,7;-;-
"430570 Condor";36;36;112297,92;95960,65;-;-;16337,27;-;-;3119,39;3119,39;218;6,1;1;2,78
"430580 Constantina";58;58;64561,73;53370,53;-;-;11191,20;-;-;1113,13;1113,13;248;4,3;1;1,72
"430583 Coqueiro Baixo";10;10;6247,40;5077,93;-;-;1169,47;-;-;624,74;624,74;40;4,0;1;10,00
"430585 Coqueiros do Sul";14;14;12332,67;10043,15;-;-;2289,52;-;-;880,90;880,90;46;3,3;-;-
"430587 Coronel Barros";13;13;47618,33;34761,91;-;-;12856,42;-;-;3662,95;3662,95;66;5,1;1;7,69
"430590 Coronel Bicaco";60;60;59849,10;49867,82;-;-;9981,28;-;-;997,48;997,48;271;4,5;2;3,33
"430593 Coronel Pilar";6;6;3864,72;3084,22;-;-;780,50;-;-;644,12;644,12;23;3,8;-;-
"430595 Cotiporã";18;18;29517,91;22669,58;-;-;6848,33;-;-;1639,88;1639,88;63;3,5;1;5,56
"430597 Coxilha";20;20;39767,82;33494,69;-;-;6273,13;-;-;1988,39;1988,39;120;6,0;2;10,00
"430600 Crissiumal";75;75;99229,13;81643,00;-;-;17586,13;-;-;1323,06;1323,06;343;4,6;2;2,67
"430605 Cristal";32;32;76052,17;56992,14;-;-;19060,03;-;-;2376,63;2376,63;137;4,3;3;9,38
"430607 Cristal do Sul";26;26;16517,48;12834,69;-;-;3682,79;-;-;635,29;635,29;70;2,7;1;3,85
"430610 Cruz Alta";207;207;358212,12;293079,86;-;-;65132,26;-;-;1730,49;1730,49;1132;5,5;15;7,25
"430613 Cruzaltense";4;4;6428,42;4749,03;-;-;1679,39;-;-;1607,11;1607,11;8;2,0;-;-
"430620 Cruzeiro do Sul";56;56;195059,06;157379,09;-;-;37679,97;-;-;3483,20;3483,20;276;4,9;3;5,36
"430630 David Canabarro";26;26;24500,62;20348,75;-;-;4151,87;-;-;942,33;942,33;113;4,3;1;3,85
"430632 Derrubadas";18;18;55355,82;48286,83;-;-;7068,99;-;-;3075,32;3075,32;148;8,2;-;-
"430635 Dezesseis de Novembro";13;13;33047,45;25754,20;-;-;7293,25;-;-;2542,11;2542,11;57;4,4;1;7,69
"430637 Dilermando de Aguiar";13;13;13178,77;10095,42;-;-;3083,35;-;-;1013,75;1013,75;62;4,8;-;-
"430640 Dois Irmãos";118;118;177272,15;140028,87;-;-;37243,28;-;-;1502,31;1502,31;526;4,5;4;3,39
"430642 Dois Irmãos das Missões";14;14;13834,84;11048,65;-;-;2786,19;-;-;988,20;988,20;24;1,7;-;-
"430645 Dois Lajeados";21;21;14428,45;11905,77;-;-;2522,68;-;-;687,07;687,07;83;4,0;-;-
"430650 Dom Feliciano";77;77;140124,33;116826,34;-;-;23297,99;-;-;1819,80;1819,80;420;5,5;2;2,60
"430660 Dom Pedrito";138;138;145382,39;113266,21;-;-;32116,18;-;-;1053,50;1053,50;632;4,6;13;9,42
"430655 Dom Pedro de Alcântara";22;22;56807,37;46990,12;-;-;9817,25;-;-;2582,15;2582,15;106;4,8;2;9,09
"430670 Dona Francisca";21;21;33075,34;27906,32;-;-;5169,02;-;-;1575,02;1575,02;73;3,5;2;9,52
"430673 Doutor Maurício Cardoso";22;22;24722,11;19696,89;-;-;5025,22;-;-;1123,73;1123,73;52;2,4;1;4,55
"430675 Doutor Ricardo";3;3;8976,60;5268,15;-;-;3708,45;-;-;2992,20;2992,20;7;2,3;-;-
"430676 Eldorado do Sul";194;194;385627,63;303904,45;-;-;81723,18;-;-;1987,77;1987,77;1268;6,5;12;6,19
"430680 Encantado";111;111;111587,46;90134,51;-;-;21452,95;-;-;1005,29;1005,29;561;5,1;9;8,11
"430690 Encruzilhada do Sul";132;132;118793,81;98331,60;-;-;20462,21;-;-;899,95;899,95;586;4,4;9;6,82
"430692 Engenho Velho";19;19;18544,19;16179,94;-;-;2364,25;-;-;976,01;976,01;68;3,6;-;-
"430695 Entre Rios do Sul";15;15;15981,29;12298,82;-;-;3682,47;-;-;1065,42;1065,42;22;1,5;-;-
"430693 Entre-Ijuís";49;49;73559,53;58180,65;-;-;15378,88;-;-;1501,21;1501,21;170;3,5;5;10,20
"430697 Erebango";19;19;26138,04;20345,83;-;-;5792,21;-;-;1375,69;1375,69;50;2,6;-;-
"430700 Erechim";299;299;590741,27;484260,97;-;-;106480,30;-;-;1975,72;1975,72;1497;5,0;19;6,35
"430705 Ernestina";19;19;38842,39;32533,43;-;-;6308,96;-;-;2044,34;2044,34;143;7,5;3;15,79
"430720 Erval Grande";14;14;41698,14;36195,02;-;-;5503,12;-;-;2978,44;2978,44;50;3,6;2;14,29
"430730 Erval Seco";41;41;66456,41;51207,90;-;-;15248,51;-;-;1620,89;1620,89;212;5,2;1;2,44
"430740 Esmeralda";19;22;33776,81;28273,37;-;-;5503,44;-;-;1535,31;1777,73;179;9,4;-;-
"430745 Esperança do Sul";17;17;35469,97;28869,94;-;-;6600,03;-;-;2086,47;2086,47;75;4,4;3;17,65
"430750 Espumoso";82;82;69017,21;53930,16;-;-;15087,05;-;-;841,67;841,67;248;3,0;1;1,22
"430755 Estação";29;29;32664,99;25282,75;-;-;7382,24;-;-;1126,38;1126,38;123;4,2;-;-
"430760 Estância Velha";221;221;297050,38;236755,21;-;-;60295,17;-;-;1344,12;1344,12;1087;4,9;22;9,95
"430770 Esteio";485;485;821726,84;668288,40;-;-;153438,44;-;-;1694,28;1694,28;2872;5,9;27;5,57
"430780 Estrela";173;173;235678,68;188878,29;-;-;46800,39;-;-;1362,30;1362,30;690;4,0;12;6,94
"430781 Estrela Velha";10;10;6840,35;5870,52;-;-;969,83;-;-;684,04;684,04;79;7,9;-;-
"430783 Eugênio de Castro";8;8;13498,06;10779,46;-;-;2718,60;-;-;1687,26;1687,26;32;4,0;1;12,50
"430786 Fagundes Varela";12;14;17560,55;14493,22;-;-;3067,33;-;-;1254,33;1463,38;87;7,3;1;8,33
"430790 Farroupilha";317;317;447101,60;367209,59;-;-;79892,01;-;-;1410,42;1410,42;1324;4,2;22;6,94
"430800 Faxinal do Soturno";34;34;31076,49;26184,22;-;-;4892,27;-;-;914,01;914,01;112;3,3;3;8,82
"430805 Faxinalzinho";15;15;19592,07;15441,70;-;-;4150,37;-;-;1306,14;1306,14;54;3,6;1;6,67
"430807 Fazenda Vilanova";37;37;28928,03;22755,75;-;-;6172,28;-;-;781,84;781,84;182;4,9;1;2,70
"430810 Feliz";63;63;56711,10;47281,27;-;-;9429,83;-;-;900,18;900,18;269;4,3;5;7,94
"430820 Flores da Cunha";102;104;139739,67;111406,23;-;-;28333,44;-;-;1343,65;1370,00;500;4,9;3;2,94
"430825 Floriano Peixoto";12;12;21420,66;16100,87;-;-;5319,79;-;-;1785,06;1785,06;46;3,8;-;-
"430830 Fontoura Xavier";38;38;53863,66;45649,29;-;-;8214,37;-;-;1417,46;1417,46;196;5,2;4;10,53
"430840 Formigueiro";21;21;16467,17;12948,02;-;-;3519,15;-;-;784,15;784,15;98;4,7;1;4,76
"430843 Forquetinha";21;21;33850,26;26737,52;-;-;7112,74;-;-;1611,92;1611,92;82;3,9;3;14,29
"430845 Fortaleza dos Valos";18;18;14568,15;11958,82;-;-;2609,33;-;-;809,34;809,34;67;3,7;-;-
"430850 Frederico Westphalen";100;100;156088,64;128601,19;-;-;27487,45;-;-;1560,89;1560,89;537;5,4;2;2,00
"430860 Garibaldi";125;129;220630,94;183729,04;-;-;36901,90;-;-;1710,32;1765,05;731;5,8;9;7,20
"430865 Garruchos";10;10;35114,46;29515,61;-;-;5598,85;-;-;3511,45;3511,45;82;8,2;-;-
"430870 Gaurama";19;19;22832,01;17713,12;-;-;5118,89;-;-;1201,68;1201,68;98;5,2;2;10,53
"430880 General Câmara";29;29;29586,71;25397,73;-;-;4188,98;-;-;1020,23;1020,23;184;6,3;4;13,79
"430885 Gentil";2;2;1189,63;780,56;-;-;409,07;-;-;594,82;594,82;2;1,0;-;-
"430890 Getúlio Vargas";66;66;131230,13;104340,41;-;-;26889,72;-;-;1988,34;1988,34;396;6,0;4;6,06
"430900 Giruá";91;91;172146,01;143055,31;-;-;29090,70;-;-;1891,71;1891,71;500;5,5;6;6,59
"430905 Glorinha";17;17;24955,80;21152,47;-;-;3803,33;-;-;1467,99;1467,99;62;3,6;1;5,88
"430910 Gramado";267;267;264077,71;199728,50;-;-;64349,21;-;-;989,06;989,06;806;3,0;7;2,62
"430912 Gramado dos Loureiros";20;20;24990,98;20143,44;-;-;4847,54;-;-;1249,55;1249,55;132;6,6;1;5,00
"430915 Gramado Xavier";14;14;9547,83;7147,78;-;-;2400,05;-;-;681,99;681,99;66;4,7;1;7,14
"430920 Gravataí";1009;1010;2080186,29;1747174,52;-;-;333011,77;-;-;2059,59;2061,63;6739;6,7;70;6,94
"430925 Guabiju";5;5;6104,23;3983,46;-;-;2120,77;-;-;1220,85;1220,85;8;1,6;-;-
"430930 Guaíba";328;332;940268,51;777873,75;-;-;162394,76;-;-;2832,13;2866,67;2512;7,7;16;4,88
"430940 Guaporé";104;106;194520,68;168067,31;-;-;26453,37;-;-;1835,10;1870,39;536;5,2;5;4,81
"430950 Guarani das Missões";49;49;60320,87;50540,08;-;-;9780,79;-;-;1231,04;1231,04;215;4,4;2;4,08
"430955 Harmonia";11;11;14499,20;12325,46;-;-;2173,74;-;-;1318,11;1318,11;71;6,5;1;9,09
"430710 Herval";24;24;25568,46;21796,43;-;-;3772,03;-;-;1065,35;1065,35;210;8,8;4;16,67
"430957 Herveiras";13;13;13183,65;10208,18;-;-;2975,47;-;-;1014,13;1014,13;40;3,1;1;7,69
"430960 Horizontina";89;89;98064,16;82081,61;-;-;15982,55;-;-;1101,84;1101,84;424;4,8;6;6,74
"430965 Hulha Negra";18;18;29603,12;23421,07;-;-;6182,05;-;-;1644,62;1644,62;56;3,1;2;11,11
"430970 Humaitá";29;29;37789,70;32459,24;-;-;5330,46;-;-;1303,09;1303,09;157;5,4;3;10,34
"430975 Ibarama";27;27;26651,30;23657,46;-;-;2993,84;-;-;987,09;987,09;129;4,8;1;3,70
"430980 Ibiaçá";20;20;38459,28;26579,26;-;-;11880,02;-;-;1922,96;1922,96;74;3,7;2;10,00
"430990 Ibiraiaras";30;30;60906,42;50776,80;-;-;10129,62;-;-;2030,21;2030,21;133;4,4;-;-
"430995 Ibirapuitã";21;21;18787,19;15076,79;-;-;3710,40;-;-;894,63;894,63;90;4,3;1;4,76
"431000 Ibirubá";94;94;171504,91;145647,52;-;-;25857,39;-;-;1824,52;1824,52;478;5,1;5;5,32
"431010 Igrejinha";309;309;331139,27;266297,88;-;-;64841,39;-;-;1071,65;1071,65;1358;4,4;16;5,18
"431020 Ijuí";415;415;766453,58;621539,95;-;-;144913,63;-;-;1846,88;1846,88;2216;5,3;21;5,06
"431030 Ilópolis";3;3;2644,64;2243,02;-;-;401,62;-;-;881,55;881,55;3;1,0;-;-
"431033 Imbé";114;114;298028,64;257305,89;-;-;40722,75;-;-;2614,29;2614,29;651;5,7;12;10,53
"431036 Imigrante";16;16;29536,43;20758,71;-;-;8777,72;-;-;1846,03;1846,03;42;2,6;1;6,25
"431040 Independência";21;21;25149,91;21034,53;-;-;4115,38;-;-;1197,61;1197,61;125;6,0;2;9,52
"431041 Inhacorá";21;21;28806,45;22525,20;-;-;6281,25;-;-;1371,74;1371,74;86;4,1;-;-
"431043 Ipê";36;36;104870,63;88326,11;-;-;16544,52;-;-;2913,07;2913,07;188;5,2;3;8,33
"431046 Ipiranga do Sul";8;8;3319,87;2187,02;-;-;1132,85;-;-;414,98;414,98;19;2,4;-;-
"431050 Iraí";65;65;92770,46;77217,43;-;-;15553,03;-;-;1427,24;1427,24;463;7,1;3;4,62
"431053 Itaara";22;22;14782,66;11233,65;-;-;3549,01;-;-;671,94;671,94;46;2,1;1;4,55
"431055 Itacurubi";23;23;34873,35;29982,14;-;-;4891,21;-;-;1516,23;1516,23;161;7,0;1;4,35
"431057 Itapuca";5;5;5088,13;3867,27;-;-;1220,86;-;-;1017,63;1017,63;18;3,6;-;-
"431060 Itaqui";222;222;201727,07;158531,64;-;-;43195,43;-;-;908,68;908,68;851;3,8;12;5,41
"431065 Itati";10;10;15708,85;13860,92;-;-;1847,93;-;-;1570,88;1570,88;49;4,9;1;10,00
"431070 Itatiba do Sul";12;12;15902,46;12300,60;-;-;3601,86;-;-;1325,21;1325,21;50;4,2;-;-
"431075 Ivorá";15;15;10154,43;8605,90;-;-;1548,53;-;-;676,96;676,96;63;4,2;1;6,67
"431080 Ivoti";104;104;173621,71;134647,73;-;-;38973,98;-;-;1669,44;1669,44;577;5,5;5;4,81
"431085 Jaboticaba";26;26;29175,00;23675,07;-;-;5499,93;-;-;1122,12;1122,12;128;4,9;-;-
"431087 Jacuizinho";9;9;13089,52;9586,27;-;-;3503,25;-;-;1454,39;1454,39;44;4,9;2;22,22
"431090 Jacutinga";11;11;14231,72;12210,68;-;-;2021,04;-;-;1293,79;1293,79;80;7,3;-;-
"431100 Jaguarão";133;134;161202,18;128975,12;-;-;32227,06;-;-;1203,00;1212,05;648;4,9;9;6,77
"431110 Jaguari";37;37;44449,96;38028,93;-;-;6421,03;-;-;1201,35;1201,35;310;8,4;2;5,41
"431112 Jaquirana";31;31;31427,91;26499,16;-;-;4928,75;-;-;1013,80;1013,80;142;4,6;1;3,23
"431113 Jari";9;9;4938,65;3504,26;-;-;1434,39;-;-;548,74;548,74;27;3,0;-;-
"431115 Jóia";32;32;49062,32;39277,54;-;-;9784,78;-;-;1533,20;1533,20;156;4,9;2;6,25
"431120 Júlio de Castilhos";96;96;103357,49;86089,85;-;-;17267,64;-;-;1076,64;1076,64;567;5,9;4;4,17
"431123 Lagoa Bonita do Sul";4;4;3127,79;2672,59;-;-;455,20;-;-;781,95;781,95;7;1,8;-;-
"431127 Lagoa dos Três Cantos";7;7;13089,98;10610,54;-;-;2479,44;-;-;1870,00;1870,00;15;2,1;1;14,29
"431130 Lagoa Vermelha";73;73;135499,75;113893,15;-;-;21606,60;-;-;1856,16;1856,16;454;6,2;8;10,96
"431125 Lagoão";29;29;19004,54;15427,09;-;-;3577,45;-;-;655,33;655,33;97;3,3;-;-
"431140 Lajeado";271;271;458045,79;360607,04;-;-;97438,75;-;-;1690,21;1690,21;1344;5,0;17;6,27
"431142 Lajeado do Bugre";11;11;26699,83;22477,09;-;-;4222,74;-;-;2427,26;2427,26;82;7,5;1;9,09
"431150 Lavras do Sul";18;18;45686,44;39470,02;-;-;6216,42;-;-;2538,14;2538,14;128;7,1;6;33,33
"431160 Liberato Salzano";19;19;41212,98;33733,94;-;-;7479,04;-;-;2169,10;2169,10;168;8,8;-;-
"431162 Lindolfo Collor";24;24;48411,88;40948,54;-;-;7463,34;-;-;2017,16;2017,16;239;10,0;1;4,17
"431164 Linha Nova";5;5;2754,02;2252,51;-;-;501,51;-;-;550,80;550,80;9;1,8;1;20,00
"431171 Maçambará";22;22;21539,71;17343,80;-;-;4195,91;-;-;979,08;979,08;52;2,4;1;4,55
"431170 Machadinho";13;13;24975,05;21798,62;-;-;3176,43;-;-;1921,16;1921,16;81;6,2;3;23,08
"431173 Mampituba";13;13;22989,35;17223,67;-;-;5765,68;-;-;1768,41;1768,41;62;4,8;1;7,69
"431175 Manoel Viana";3;3;4979,46;4381,18;-;-;598,28;-;-;1659,82;1659,82;16;5,3;1;33,33
"431177 Maquiné";16;16;23748,21;19661,68;-;-;4086,53;-;-;1484,26;1484,26;84;5,3;2;12,50
"431179 Maratá";4;4;7801,26;6303,02;-;-;1498,24;-;-;1950,32;1950,32;42;10,5;1;25,00
"431180 Marau";175;175;588157,27;494415,48;-;-;93741,79;-;-;3360,90;3360,90;1017;5,8;10;5,71
"431190 Marcelino Ramos";37;37;41472,12;32836,89;-;-;8635,23;-;-;1120,87;1120,87;173;4,7;2;5,41
"431198 Mariana Pimentel";24;24;72550,12;57603,46;-;-;14946,66;-;-;3022,92;3022,92;186;7,8;5;20,83
"431200 Mariano Moro";7;7;25532,33;21178,06;-;-;4354,27;-;-;3647,48;3647,48;76;10,9;-;-
"431205 Marques de Souza";17;17;28633,79;23795,31;-;-;4838,48;-;-;1684,34;1684,34;89;5,2;2;11,76
"431210 Mata";16;16;24303,06;19373,68;-;-;4929,38;-;-;1518,94;1518,94;72;4,5;-;-
"431213 Mato Castelhano";10;10;6247,66;4931,40;-;-;1316,26;-;-;624,77;624,77;24;2,4;-;-
"431215 Mato Leitão";21;21;30809,30;25300,77;-;-;5508,53;-;-;1467,11;1467,11;58;2,8;-;-
"431217 Mato Queimado";12;12;14266,02;12616,26;-;-;1649,76;-;-;1188,84;1188,84;77;6,4;1;8,33
"431220 Maximiliano de Almeida";35;35;19820,31;15908,77;-;-;3911,54;-;-;566,29;566,29;183;5,2;1;2,86
"431225 Minas do Leão";42;42;71978,99;57110,96;-;-;14868,03;-;-;1713,79;1713,79;251;6,0;4;9,52
"431230 Miraguaí";36;36;56378,39;46956,71;-;-;9421,68;-;-;1566,07;1566,07;146;4,1;-;-
"431235 Montauri";9;9;16493,71;13415,51;-;-;3078,20;-;-;1832,63;1832,63;47;5,2;-;-
"431237 Monte Alegre dos Campos";18;18;16742,22;12962,34;-;-;3779,88;-;-;930,12;930,12;62;3,4;1;5,56
"431238 Monte Belo do Sul";9;9;14076,19;11678,19;-;-;2398,00;-;-;1564,02;1564,02;35;3,9;-;-
"431240 Montenegro";275;275;493685,36;409142,94;-;-;84542,42;-;-;1795,22;1795,22;1899;6,9;20;7,27
"431242 Mormaço";9;9;12008,11;9940,90;-;-;2067,21;-;-;1334,23;1334,23;67;7,4;-;-
"431244 Morrinhos do Sul";13;13;8721,30;7204,33;-;-;1516,97;-;-;670,87;670,87;50;3,8;1;7,69
"431245 Morro Redondo";8;8;9624,45;7776,49;-;-;1847,96;-;-;1203,06;1203,06;32;4,0;2;25,00
"431247 Morro Reuter";21;21;20673,59;16314,21;-;-;4359,38;-;-;984,46;984,46;86;4,1;1;4,76
"431250 Mostardas";46;46;101498,33;87690,78;-;-;13807,55;-;-;2206,49;2206,49;324;7,0;2;4,35
"431260 Muçum";21;21;31238,86;25449,31;-;-;5789,55;-;-;1487,56;1487,56;83;4,0;-;-
"431261 Muitos Capões";12;12;6875,85;5278,52;-;-;1597,33;-;-;572,99;572,99;60;5,0;2;16,67
"431262 Muliterno";5;5;6709,21;5532,37;-;-;1176,84;-;-;1341,84;1341,84;13;2,6;-;-
"431265 Não-Me-Toque";84;86;141433,01;122567,63;-;-;18865,38;-;-;1644,57;1683,73;380;4,5;5;5,95
"431267 Nicolau Vergueiro";5;5;3631,79;2890,95;-;-;740,84;-;-;726,36;726,36;26;5,2;-;-
"431270 Nonoai";115;115;178042,45;156216,34;-;-;21826,11;-;-;1548,20;1548,20;464;4,0;6;5,22
"431275 Nova Alvorada";15;15;60144,30;54343,26;-;-;5801,04;-;-;4009,62;4009,62;74;4,9;1;6,67
